tic_id,toi,disposition,epoch_bjd,period/days,duration/hours,depth,planet_radius,stellar_radius,stteff,logg,tess_mag,prob_planet,rank
237097499,5601.01,PC,2459834.266444,9.5197732,2.636,2200.0,3.89219,0.77,4541.0,4.52,13.3757,0.6661662443642059,2070
324426685,5053.01,PC,2459372.59318,9.8830331,3.432,15630.0,10.3147,0.82,4456.0,4.46,12.6916,0.6655386670187953,2071
245099574,4880.01,PC,2459329.598741,3.4717583,3.494,11480.0,15.0586,1.43,6549.0,4.26,12.8382,0.6653162346322189,2072
238279960,7340.01,PC,2460563.616921,7.4894672,1.826338,2097.1814085,3.9858614,0.868418,5143.31,4.49913,10.6498,0.6650609445347639,2073
359357695,1880.01,PC,2459333.898275,1.7263781,1.7874582,10118.353972,8.0540139,0.556058,3631.4,4.69,13.0614,0.6642014394971716,2074
167720788,6523.01,PC,2460033.568724,7.809463,4.133,11239.0,14.0451,1.33,5816.0,4.32,12.8603,0.6639030253844597,2075
452508760,5938.01,PC,2459820.183153,2.260431,2.098,2680.0,3.92152,0.74,4452.0,4.54,11.3519,0.6634343802903793,2076
231833236,2648.01,PC,2460157.433427,4.773751,1.7107074,11156.3496198,14.861327,1.2413,5904.3,4.28,13.3316,0.6611486420429445,2077
57159675,4077.01,PC,2459694.838172,5.5679111,2.4294368,12867.4456847,9.5108395,0.801525,4887.0,4.53,12.8682,0.6611373290901373,2078
233719215,4054.01,PC,2459657.554147,17.356719,2.5707102,12730.2717116,9.705386,0.760629,4697.0,4.55,13.0533,0.6610501988897513,2079
349410350,2624.01,PC,2459384.356179,3.0235362,2.189,26980.0,13.178,0.78,5141.0,4.6,13.4354,0.6595081476970097,2080
356472238,5382.01,PC,2459961.944111,14.5416243,4.356,711.0,4.35314,1.72,6277.0,4.06,9.46981,0.6582822936153668,2081
24499407,7194.01,PC,2460499.275203,4.167309,4.056,7537.0,12.5792,1.59,6552.0,4.17,12.5502,0.6582509927722332,2082
372747949,4169.01,PC,2459763.167593,3.4026932,5.23,2900.0,11.5347,2.18,5661.0,3.77,12.7553,0.6572390896250259,2083
85281192,6317.01,PC,2459903.350981,4.244335,1.969,18385.0,7.13409,0.5,3518.0,4.74,14.1332,0.6568714751157354,2084
